[INFO][2018-03-22 16:04:41.487859][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:04:46.418154][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:08:16.948703][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:08:22.479440][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:08:30.508801][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:08:57.590454][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:13:39.884914][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:13:54.404682][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:13:56.280241][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:13:57.655992][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:14:03.484747][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:14:23.325853][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:16:25.673881][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:16:47.028427][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:16:53.259927][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:16:58.950161][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:17:13.189504][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:17:20.204696][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:17:56.676950][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:18:04.547283][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:18:10.870565][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:23:03.776083][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:23:10.050680][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:23:16.636006][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:23:23.319771][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:23:29.898985][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:23:39.274820][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:24:46.279499][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:24:52.420030][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:24:58.273522][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:25:06.089702][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:25:12.055403][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:25:17.577132][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:25:23.153306][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:25:28.494257][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:25:34.171770][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:25:40.084369][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:25:46.252320][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:25:51.821768][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:25:57.121953][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:26:02.249538][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:26:07.855591][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:26:12.946576][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:26:17.929519][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:26:23.249139][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:26:28.424303][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:26:33.724706][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:28:43.260745][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:28:43.260840][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:29:26.338634][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:33:58.479266][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:34:11.551669][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:34:34.252525][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:34:41.254199][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:34:46.987715][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:34:55.039057][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:35:04.855882][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:35:10.494094][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:35:16.251932][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:35:21.538443][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:35:27.056511][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:35:32.357512][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:35:38.368173][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:35:43.765597][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:35:52.565922][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:35:58.380575][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:36:03.500156][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:36:08.700702][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:36:14.170290][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:36:20.069532][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:37:45.379400][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:38:11.278537][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:38:20.572516][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:38:25.814987][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:38:30.894642][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:38:36.018102][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:38:41.137509][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:38:42.117737][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:38:47.898676][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:38:53.797718][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 16:38:59.889561][ Manual ]Contacted? (y/n)
